,time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
5436,-48.570,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186825.178,-187500.022,-187500.022,-187500.022,-187500.022
5437,-48.575,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186790.578,-187500.022,-187500.022,-187500.022,-187500.022
5438,-48.580,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186812.192,-187500.022,-187500.022,-187500.022,-187500.022
5439,-48.584,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186781.123,-187500.022,-187500.022,-187500.022,-187500.022
5440,-48.589,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186799.787,-187500.022,-187500.022,-187500.022,-187500.022
5441,-48.619,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186773.524,-187500.022,-187500.022,-187500.022,-187500.022
5442,-48.624,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186784.699,-187500.022,-187500.022,-187500.022,-187500.022
5443,-48.629,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186763.421,-187500.022,-187500.022,-187500.022,-187500.022
5444,-48.634,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186766.393,-187500.022,-187500.022,-187500.022,-187500.022
5445,-48.638,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186757.095,-187500.022,-187500.022,-187500.022,-187500.022
5446,-48.643,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186753.407,-187500.022,-187500.022,-187500.022,-187500.022
5447,-48.647,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186748.646,-187500.022,-187500.022,-187500.022,-187500.022
5448,-48.652,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-187500.022,-186737.694,-187500.022,-187500.022,-187500.022,-187500.022
