eeg1,eeg2,eeg3,eeg4,eeg5,time
-986.328125, 968.75, 968.75, 968.26171875, 0.0, 1622079574.4267569
784.1796875, 968.75, 968.26171875, 968.26171875, 0.0, 1622079574.430663
-755.37109375, 968.75, 968.26171875, 968.26171875, 0.0, 1622079574.4345694
-1000.0, 969.23828125, 968.75, 968.75, 0.0, 1622079574.4384756
297.36328125, 968.75, 968.26171875, 968.75, 0.0, 1622079574.4423819
-815.91796875, 968.26171875, 968.75, 968.26171875, 0.0, 1622079574.446288
-111.81640625, 968.75, 968.75, 968.26171875, 0.0, 1622079574.4501944
-1000.0, 968.75, 968.75, 968.75, 0.0, 1622079574.4541006
-211.42578125, 968.75, 968.75, 968.75, 0.0, 1622079574.4580069
-814.94140625, 968.75, 968.75, 968.26171875, 0.0, 1622079574.461913
234.375, 968.75, 968.26171875, 968.26171875, 0.0, 1622079574.4658194
-1000.0, 968.75, 968.75, 968.26171875, 0.0, 1622079574.4697256
-334.9609375, 968.75, 968.75, 968.26171875, 0.0, 1622079574.4736319
-833.984375, 968.75, 968.75, 968.26171875, 0.0, 1622079574.477538
394.04296875, 968.75, 968.75, 968.75, 0.0, 1622079574.4814444
-1000.0, 969.23828125, 968.26171875, 968.75, 0.0, 1622079574.4853506
-786.62109375, 968.75, 968.75, 968.26171875, 0.0, 1622079574.4892569
805.17578125, 968.75, 968.75, 968.75, 0.0, 1622079574.493163
879.8828125, 968.75, 968.26171875, 968.75, 0.0, 1622079574.4970694
-641.6015625, 968.75, 968.75, 968.75, 0.0, 1622079574.5009756
-1000.0, 969.23828125, 968.75, 968.26171875, 0.0, 1622079574.5048819
67.3828125, 968.75, 968.26171875, 968.26171875, 0.0, 1622079574.508788
-805.6640625, 968.26171875, 968.26171875, 968.26171875, 0.0, 1622079574.5126944
-7.8125, 968.75, 968.26171875, 968.26171875, 0.0, 1622079574.5166006
-1000.0, 968.75, 969.23828125, 968.75, 0.0, 1622079574.5205069
-238.28125, 968.75, 966.796875, 968.26171875, 0.0, 1622079574.524413
-824.21875, 968.26171875, 962.890625, 968.26171875, 0.0, 1622079574.5283194
243.65234375, 968.75, 970.21484375, 968.75, 0.0, 1622079574.5322256
-1000.0, 968.75, 824.70703125, 968.75, 0.0, 1622079574.5361319
-581.54296875, 968.75, 549.31640625, 968.75, 0.0, 1622079574.540038
